"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: token"
"org.kot.experiment.CatBenchmark.t1_direct","avgt",1,15,5.522084,0.059145,"ns/op",00
"org.kot.experiment.CatBenchmark.t1_direct","avgt",1,15,7.791707,0.088105,"ns/op",02
"org.kot.experiment.CatBenchmark.t1_direct","avgt",1,15,10.559804,1.029683,"ns/op",04
"org.kot.experiment.CatBenchmark.t1_direct","avgt",1,15,16.647641,0.164448,"ns/op",08
"org.kot.experiment.CatBenchmark.t1_direct","avgt",1,15,34.169581,0.366850,"ns/op",16
"org.kot.experiment.CatBenchmark.t1_direct","avgt",1,15,71.871033,0.683979,"ns/op",32
"org.kot.experiment.CatBenchmark.t1_direct","avgt",1,15,148.097769,0.916864,"ns/op",64
"org.kot.experiment.CatBenchmark.t2_javassist","avgt",1,15,5.749107,0.047806,"ns/op",00
"org.kot.experiment.CatBenchmark.t2_javassist","avgt",1,15,8.270867,0.234226,"ns/op",02
"org.kot.experiment.CatBenchmark.t2_javassist","avgt",1,15,10.374573,0.469435,"ns/op",04
"org.kot.experiment.CatBenchmark.t2_javassist","avgt",1,15,17.007717,0.137350,"ns/op",08
"org.kot.experiment.CatBenchmark.t2_javassist","avgt",1,15,34.635719,0.268506,"ns/op",16
"org.kot.experiment.CatBenchmark.t2_javassist","avgt",1,15,73.596710,1.616316,"ns/op",32
"org.kot.experiment.CatBenchmark.t2_javassist","avgt",1,15,149.720321,1.716833,"ns/op",64
"org.kot.experiment.CatBenchmark.t3_cglib","avgt",1,15,6.263767,0.052135,"ns/op",00
"org.kot.experiment.CatBenchmark.t3_cglib","avgt",1,15,8.591131,0.186778,"ns/op",02
"org.kot.experiment.CatBenchmark.t3_cglib","avgt",1,15,10.619004,0.156578,"ns/op",04
"org.kot.experiment.CatBenchmark.t3_cglib","avgt",1,15,17.565846,0.233404,"ns/op",08
"org.kot.experiment.CatBenchmark.t3_cglib","avgt",1,15,35.008580,0.354514,"ns/op",16
"org.kot.experiment.CatBenchmark.t3_cglib","avgt",1,15,73.264034,1.007357,"ns/op",32
"org.kot.experiment.CatBenchmark.t3_cglib","avgt",1,15,149.329817,1.460031,"ns/op",64
"org.kot.experiment.CatBenchmark.t4_dynamic","avgt",1,15,18.372802,0.278019,"ns/op",00
"org.kot.experiment.CatBenchmark.t4_dynamic","avgt",1,15,20.977375,0.384746,"ns/op",02
"org.kot.experiment.CatBenchmark.t4_dynamic","avgt",1,15,23.258629,0.300074,"ns/op",04
"org.kot.experiment.CatBenchmark.t4_dynamic","avgt",1,15,29.081645,0.411263,"ns/op",08
"org.kot.experiment.CatBenchmark.t4_dynamic","avgt",1,15,50.220251,1.782359,"ns/op",16
"org.kot.experiment.CatBenchmark.t4_dynamic","avgt",1,15,88.528295,1.859233,"ns/op",32
"org.kot.experiment.CatBenchmark.t4_dynamic","avgt",1,15,167.596049,3.070310,"ns/op",64
"org.kot.experiment.CatBenchmark.t5_hibernate","avgt",1,15,25.298855,0.282014,"ns/op",00
"org.kot.experiment.CatBenchmark.t5_hibernate","avgt",1,15,18.446958,0.474490,"ns/op",02
"org.kot.experiment.CatBenchmark.t5_hibernate","avgt",1,15,26.953688,5.294990,"ns/op",04
"org.kot.experiment.CatBenchmark.t5_hibernate","avgt",1,15,27.077857,0.325433,"ns/op",08
"org.kot.experiment.CatBenchmark.t5_hibernate","avgt",1,15,46.869696,0.848583,"ns/op",16
"org.kot.experiment.CatBenchmark.t5_hibernate","avgt",1,15,91.118882,4.257619,"ns/op",32
"org.kot.experiment.CatBenchmark.t5_hibernate","avgt",1,15,160.938321,1.881187,"ns/op",64
"org.kot.experiment.CatBenchmark.t6_springOpt","avgt",1,15,24.582638,0.728409,"ns/op",00
"org.kot.experiment.CatBenchmark.t6_springOpt","avgt",1,15,26.618412,0.510898,"ns/op",02
"org.kot.experiment.CatBenchmark.t6_springOpt","avgt",1,15,29.452679,0.739745,"ns/op",04
"org.kot.experiment.CatBenchmark.t6_springOpt","avgt",1,15,35.749209,0.858915,"ns/op",08
"org.kot.experiment.CatBenchmark.t6_springOpt","avgt",1,15,54.500423,1.230066,"ns/op",16
"org.kot.experiment.CatBenchmark.t6_springOpt","avgt",1,15,94.597636,0.887612,"ns/op",32
"org.kot.experiment.CatBenchmark.t6_springOpt","avgt",1,15,172.075503,1.801364,"ns/op",64
"org.kot.experiment.CatBenchmark.t7_spring","avgt",1,15,51.152620,0.796150,"ns/op",00
"org.kot.experiment.CatBenchmark.t7_spring","avgt",1,15,54.874116,0.891755,"ns/op",02
"org.kot.experiment.CatBenchmark.t7_spring","avgt",1,15,55.795070,0.440281,"ns/op",04
"org.kot.experiment.CatBenchmark.t7_spring","avgt",1,15,62.917758,1.593140,"ns/op",08
"org.kot.experiment.CatBenchmark.t7_spring","avgt",1,15,82.423113,1.398095,"ns/op",16
"org.kot.experiment.CatBenchmark.t7_spring","avgt",1,15,122.214243,2.635490,"ns/op",32
"org.kot.experiment.CatBenchmark.t7_spring","avgt",1,15,199.339431,2.716657,"ns/op",64
